Time,Model Name,File Name,Propagation Delay (s),Processing Delay (ms),E2E Delay (s),location,core
1712164174.43347,yolov5n,6.jpg,0.20779013633728,747.883081436157,0.955671310424805,belgium,half
1712164175.68444,yolov5n,6.jpg,0.231429100036621,1018.64528656006,1.25007295608521,belgium,half
1712164176.2145,yolov5n,6.jpg,0.280291557312012,248.905420303345,0.529195308685303,belgium,half
1712164177.1022,yolov5n,6.jpg,0.240398645401001,646.509170532227,0.886906385421753,belgium,half
1712164177.68826,yolov5n,6.jpg,0.246407747268677,338.954448699951,0.585361003875732,belgium,half
1712164178.76288,yolov5n,6.jpg,0.436429977416992,637.447118759155,1.07387542724609,belgium,half
1712164179.30318,yolov5n,6.jpg,0.266371726989746,272.901773452759,0.539272308349609,belgium,half
1712164180.26331,yolov5n,6.jpg,0.303611040115356,655.845642089844,0.959454536437988,belgium,half
1712164180.78416,yolov5n,6.jpg,0.244514942169189,275.142192840576,0.51965594291687,belgium,half
1712164181.59402,yolov5n,6.jpg,0.2431960105896,565.947532653809,0.809139013290405,belgium,half
1712164182.09221,yolov5n,6.jpg,0.252332448959351,244.543790817261,0.496874809265137,belgium,half
1712164182.59762,yolov5n,6.jpg,0.182034254074097,322.681903839111,0.504713773727417,belgium,half
1712164183.35392,yolov5n,6.jpg,0.189409017562866,565.808534622192,0.755215883255005,belgium,half
1712164183.87691,yolov5n,6.jpg,0.240952014923096,281.36134147644,0.522309541702271,belgium,half
1712164184.67134,yolov5n,6.jpg,0.230818033218384,562.722206115723,0.793538570404053,belgium,half
1712164185.15352,yolov5n,6.jpg,0.221785545349121,259.750366210937,0.481534719467163,belgium,half
1712164186.15209,yolov5n,6.jpg,0.408854722976685,589.075088500977,0.997928142547607,belgium,half
1712164186.70418,yolov5n,6.jpg,0.189916133880615,361.453533172607,0.551368474960327,belgium,half
1712164187.60371,yolov5n,6.jpg,0.266047477722168,632.841110229492,0.898886680603027,belgium,half
1712164188.46986,yolov5n,6.jpg,0.206959962844849,658.377885818481,0.865335702896118,belgium,half
1712164189.0097,yolov5n,6.jpg,0.2778160572052,260.996341705322,0.538810968399048,belgium,half
1712164189.88575,yolov5n,6.jpg,0.232782125473022,642.577409744263,0.875358104705811,belgium,half
1712164190.45856,yolov5n,6.jpg,0.247189283370972,324.99361038208,0.572181940078735,belgium,half
1712164191.25862,yolov5n,6.jpg,0.2156982421875,583.658218383789,0.799355268478394,belgium,half
1712164191.80045,yolov5n,6.jpg,0.177712917327881,363.507747650146,0.541218757629395,belgium,half
1712164192.65662,yolov5n,6.jpg,0.219756126403809,635.359048843384,0.855113029479981,belgium,half
1712164193.21463,yolov5n,6.jpg,0.198431491851807,358.613967895508,0.55704402923584,belgium,half
1712164194.10443,yolov5n,6.jpg,0.185852527618408,703.20987701416,0.889060497283936,belgium,half
1712164194.70524,yolov5n,6.jpg,0.26529049873352,334.766149520874,0.600054979324341,belgium,half
1712164195.29974,yolov5n,6.jpg,0.260027885437012,333.721160888672,0.59374737739563,belgium,half
1712164196.17389,yolov5n,6.jpg,0.158787250518799,714.607238769531,0.873393058776856,belgium,half
1712164197.06593,yolov5n,6.jpg,0.30897068977356,582.451820373535,0.891420841217041,belgium,half
1712164197.60116,yolov5n,6.jpg,0.263232946395874,271.25096321106,0.534482479095459,belgium,half
1712164198.16092,yolov5n,6.jpg,0.232903480529785,326.085567474365,0.558987379074097,belgium,half
1712164198.9935,yolov5n,6.jpg,0.243631839752197,587.985038757324,0.831614017486572,belgium,half
1712164199.58586,yolov5n,6.jpg,0.246645450592041,343.650817871094,0.590293884277344,belgium,half
1712164200.48698,yolov5n,6.jpg,0.227293729782104,672.978162765503,0.900268793106079,belgium,half
1712164201.04841,yolov5n,6.jpg,0.225378274917603,334.88941192627,0.560266017913818,belgium,half
1712164202.01963,yolov5n,6.jpg,0.284323215484619,685.867786407471,0.970189809799194,belgium,half
1712164202.59157,yolov5n,6.jpg,0.25570273399353,315.533399581909,0.571234941482544,belgium,half
1712164203.4252,yolov5n,6.jpg,0.269360303878784,563.419103622437,0.832777261734009,belgium,half
1712164204.05543,yolov5n,6.jpg,0.325667142868042,303.653717041016,0.629319429397583,belgium,half
1712164204.87909,yolov5n,6.jpg,0.235871315002441,587.121486663818,0.822990894317627,belgium,half
1712164205.79946,yolov5n,6.jpg,0.359416723251343,559.600591659546,0.919015645980835,belgium,half
1712164206.38915,yolov5n,6.jpg,0.261342525482178,327.57568359375,0.588916540145874,belgium,half
1712164207.25975,yolov5n,6.jpg,0.218319892883301,651.501893997192,0.86981987953186,belgium,half
1712164207.79055,yolov5n,6.jpg,0.252960920333862,277.042388916016,0.530002117156982,belgium,half
1712164208.61984,yolov5n,6.jpg,0.196000814437866,632.62677192688,0.828626155853272,belgium,half
1712164209.21205,yolov5n,6.jpg,0.275631904602051,315.742015838623,0.591371297836304,belgium,half
1712164210.06299,yolov5n,6.jpg,0.217168092727661,632.546186447144,0.849709272384644,belgium,half
1712164210.80249,yolov5n,6.jpg,0.467379331588745,271.102905273437,0.738481044769287,belgium,half
1712164211.68875,yolov5n,6.jpg,0.241315841674805,644.251108169556,0.885565519332886,belgium,half
1712164212.22985,yolov5n,6.jpg,0.290014505386353,250.42724609375,0.540436983108521,belgium,half
1712164212.78188,yolov5n,6.jpg,0.165714025497437,385.312795639038,0.551024913787842,belgium,half
1712164213.55514,yolov5n,6.jpg,0.216071605682373,556.12850189209,0.772198915481567,belgium,half
1712164214.38239,yolov5n,6.jpg,0.239240169525146,586.992740631104,0.826231241226196,belgium,half
1712164214.88128,yolov5n,6.jpg,0.243305683135986,254.838943481445,0.498142957687378,belgium,half
1712164215.38101,yolov5n,6.jpg,0.249265193939209,249.396085739136,0.49865984916687,belgium,half
1712164216.18272,yolov5n,6.jpg,0.232303619384766,568.69649887085,0.800998687744141,belgium,half
1712164216.93787,yolov5n,6.jpg,0.419968366622925,334.512948989868,0.754480123519897,belgium,half
1712164217.80659,yolov5n,6.jpg,0.180296421051025,687.759637832642,0.868054389953613,belgium,half
1712164218.39211,yolov5n,6.jpg,0.260308027267456,324.592113494873,0.584898710250855,belgium,half
1712164219.18569,yolov5n,6.jpg,0.161112546920776,631.039619445801,0.792150020599365,belgium,half
1712164219.7944,yolov5n,6.jpg,0.353586673736572,254.451513290405,0.608035802841187,belgium,half
1712164220.66187,yolov5n,6.jpg,0.234708786010742,631.61301612854,0.866319179534912,belgium,half
1712164221.18662,yolov5n,6.jpg,0.255962610244751,267.452955245972,0.523414134979248,belgium,half
1712164222.00459,yolov5n,6.jpg,0.243469476699829,573.77815246582,0.817245006561279,belgium,half
1712164222.88449,yolov5n,6.jpg,0.237006187438965,641.812086105347,0.878815650939941,belgium,half
1712164223.39182,yolov5n,6.jpg,0.259414196014404,246.798038482666,0.506210565567017,belgium,half
1712164224.25832,yolov5n,6.jpg,0.225831270217895,639.406681060791,0.865236282348633,belgium,half
1712164224.86032,yolov5n,6.jpg,0.234261751174927,366.657495498657,0.600917100906372,belgium,half
1712164225.66809,yolov5n,6.jpg,0.217239618301392,589.328050613403,0.80656623840332,belgium,half
1712164226.21105,yolov5n,6.jpg,0.271776437759399,270.230770111084,0.542005300521851,belgium,half
1712164227.10035,yolov5n,6.jpg,0.236603498458862,651.64589881897,0.888247966766357,belgium,half
1712164227.7097,yolov5n,6.jpg,0.270386695861816,338.232517242432,0.608615398406982,belgium,half
1712164228.60511,yolov5n,6.jpg,0.258527278900146,635.533571243286,0.8940589427948,belgium,half
1712164229.16169,yolov5n,6.jpg,0.228579759597778,327.3024559021,0.555880308151245,belgium,half
1712164229.69318,yolov5n,6.jpg,0.254025936126709,275.98762512207,0.530010223388672,belgium,half
1712164230.68923,yolov5n,6.jpg,0.245025873184204,749.48787689209,0.994512557983398,belgium,half
1712164231.50642,yolov5n,6.jpg,0.245776176452637,570.771932601929,0.81654691696167,belgium,half
1712164232.08919,yolov5n,6.jpg,0.258718013763428,323.349475860596,0.582065582275391,belgium,half
1712164232.68639,yolov5n,6.jpg,0.261075973510742,335.380554199219,0.596453666687012,belgium,half
1712164233.49701,yolov5n,6.jpg,0.234256029129028,575.167655944824,0.809420347213745,belgium,half
1712164234.01902,yolov5n,6.jpg,0.194682121276855,325.784921646118,0.520465850830078,belgium,half
1712164234.84683,yolov5n,6.jpg,0.206879138946533,619.949579238892,0.826826810836792,belgium,half
1712164235.39843,yolov5n,6.jpg,0.263198137283325,287.468433380127,0.550664901733398,belgium,half
1712164236.26834,yolov5n,6.jpg,0.220287799835205,648.609161376953,0.868894577026367,belgium,half
1712164236.84563,yolov5n,6.jpg,0.224276542663574,352.106332778931,0.576380968093872,belgium,half
1712164237.76946,yolov5n,6.jpg,0.323302268981934,598.927736282349,0.922228574752808,belgium,half
1712164238.47089,yolov5n,6.jpg,0.333340883255005,367.388010025024,0.700727462768555,belgium,half
1712164239.29696,yolov5n,6.jpg,0.249923467636108,575.124740600586,0.825046300888062,belgium,half
1712164240.1958,yolov5n,6.jpg,0.250773668289185,647.25923538208,0.898031234741211,belgium,half
1712164240.69566,yolov5n,6.jpg,0.169986248016357,328.931331634521,0.498912811279297,belgium,half
1712164241.6367,yolov5n,6.jpg,0.305957794189453,634.16600227356,0.940122127532959,belgium,half
1712164242.18673,yolov5n,6.jpg,0.252788066864014,296.495199203491,0.549281597137451,belgium,half
1712164243.01241,yolov5n,6.jpg,0.196172714233398,628.842115402222,0.825008392333984,belgium,half
1712164243.59705,yolov5n,6.jpg,0.26154351234436,321.938514709473,0.583480834960938,belgium,half
1712164244.47669,yolov5n,6.jpg,0.239811420440674,639.055490493774,0.878861427307129,belgium,half
1712164244.98997,yolov5n,6.jpg,0.261421680450439,250.257730484009,0.511677265167236,belgium,half
1712164245.78745,yolov5n,6.jpg,0.168395280838013,628.012657165527,0.796406269073486,belgium,half
1712164246.29574,yolov5n,6.jpg,0.183899164199829,323.781490325928,0.507679224014282,belgium,half
1712164246.91557,yolov5n,6.jpg,0.284516334533691,334.516763687134,0.619031190872192,belgium,half
1712164247.84011,yolov5n,6.jpg,0.304286956787109,619.181394577026,0.923466444015503,belgium,half
1712164248.69027,yolov5n,6.jpg,0.227689027786255,621.767044067383,0.849454402923584,belgium,half
1712164249.30857,yolov5n,6.jpg,0.289697170257568,327.920198440552,0.617615461349487,belgium,half
1712164249.89162,yolov5n,6.jpg,0.254807949066162,327.204704284668,0.582010746002197,belgium,half
1712164250.70238,yolov5n,6.jpg,0.191051244735718,618.674278259277,0.809723615646362,belgium,half
1712164251.27843,yolov5n,6.jpg,0.252725124359131,322.458505630493,0.575177907943726,belgium,half
